weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_id
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97990
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,97995
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,97995
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98020
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98022
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98026
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98039
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98042
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,98043
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98045
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98051
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4INCH, 9 MM,1.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,True,NONE,OVER 15FT,OBJECT,STANDING,98052
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98061
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98062
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98074
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98109
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,98110
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.49, 9 MM,1.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,05-10FT,PERSON,STANDING,98111
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98117
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98136
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98157
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98169
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98205
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4, 9 MM,2.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,05-10FT,PERSON,STANDING,98208
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98217
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98243
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98245
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98256
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98267
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98268
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98272
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98273
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,9.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,05-10FT,PERSON,STANDING,98278
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4, 9 MM,3.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,10-15FT,PERSON,STANDING,98279
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,22,4.48,40 S&W,9.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,05-10FT,PERSON,STANDING,98280
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98288
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98295
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,27,3.5,40 S&W,4.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,0-5FT,PERSON,STANDING,98310
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98316
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98320
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98325
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98328
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98350
OTHER (SPECIFY),,,,,,,True,,,,,True,,,,,98358
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98359
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98363
SEMI-AUTO PISTOL,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,2.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,False,NONE,05-10FT,PERSON,STANDING,98365
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,9.0,True,15.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,TACTICAL RELOAD/MAGAZINE,False,NONE,0-5FT,OBJECT,STANDING,98373
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,1.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,True,NONE,OVER 15FT,UNKNOWN,STANDING,98374
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,5.0,True,,LEFT SIDE (WAIST),STRONG SIDE DRAW,,False,NONE,05-10FT,PERSON,STANDING,98376
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,98418
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98466
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98496
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,98499
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,98502
