id,unit_name,description,tags,active,created_at,updated_at,cnt,rank
128,163,Records Inquiry Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
129,164,Records Processing Section,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
130,165,Field Inquiry Section,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
131,166,Field Services Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
132,167,Evidence And Recovered Property Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
133,168,Auto Pound Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
134,169,Police Documents Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
135,170,Ct & Id Administration,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
136,171,Central Detention Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
137,172,Equipment And Supply Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
138,173,Fleet Liaison Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
139,174,Electric And Motor Maintenance,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
140,175,Telecommunications Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
141,176,Communication Operations Unit,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
142,177,Forensic Services Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
143,178,Facilities Management Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
144,179,Reproduction And Graphic Arts Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
145,180,Bureau Of  Detectives,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
266,181,Bureau Of Detectives - Investigative Response Team,"",,2021-01-06 01:46:53.994433 +00:00,2021-01-06 01:46:53.994433 +00:00,1,1
146,184,Youth Investigation Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
257,185,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
147,187,Criminal Registration Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
148,188,Bureau Of Organized Crime,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
149,189,Narcotics Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
150,190,Homan Square Arrest Processing,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
151,191,Intelligence Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
152,192,Vice & Asset Forfeiture Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
153,193,Gang Investigation Division,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
258,194,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
154,195,Management And Accountability,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
155,196,Asset Forfeiture Investigation Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
156,211,Bureau Of Patrol - Area Central,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
157,212,Bureau Of Patrol - Area South,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
158,213,Bureau Of Patrol - Area North,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
160,214,Freedom Of Information Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
